cusip8,caldt,crsp_fundno,mtna,mret,mnav
02768110,290110,005254,12209.800,-0.033679,22.3800000
02768110,260210,005254,12404.100,0.021001,22.8500000
02768110,310310,005254,12902.400,0.045534,23.7400000
02768110,300410,005254,13115.900,0.019798,24.2100000
02768110,280510,005254,12175.000,-0.069393,22.5300000
02768110,300610,005254,11711.700,-0.034157,21.6200000
02768110,300710,005254,12388.200,0.063830,23.0000000
02768110,310810,005254,11899.500,-0.033913,22.2200000
02768110,300910,005254,12710.000,0.073017,23.6900000
02768110,291010,005254,13050.900,0.029126,24.3800000
02768110,301110,005254,12911.400,-0.009024,24.1600000
02768110,311210,005254,13635.500,0.055342,25.3200000
02768110,310111,005254,13917.600,0.017378,25.7600000
02768110,280211,005254,14273.200,0.024845,26.4000000
02768110,310311,005254,14318.300,0.005864,26.4000000
02768110,290411,005254,14735.200,0.030303,27.2000000
02768110,310511,005254,14623.500,-0.005147,27.0600000
02768110,300611,005254,14403.400,-0.009061,26.6600000
02768110,290711,005254,13889.000,-0.027757,25.9200000
02768110,310811,005254,13238.400,-0.040895,24.8600000
02768110,300911,005254,12538.300,-0.049986,23.4700000
02768110,311011,005254,13549.300,0.082659,25.4100000
02768110,301111,005254,13619.900,0.005903,25.5600000
02768110,301211,005254,13915.900,0.019495,25.8600000
02768110,310112,005254,14330.400,0.024362,26.4900000
02768110,290212,005254,14801.400,0.027935,27.2300000
02768110,300312,005254,15117.400,0.020037,27.6200000
02768110,300412,005254,15228.100,0.005069,27.7600000
02768110,310512,005254,14617.100,-0.043228,26.5600000
02768110,290612,005254,15167.400,0.036785,27.3800000
02768110,310712,005254,15399.500,0.014974,27.7900000
02768110,310812,005254,15571.400,0.011515,28.1100000
02768110,280912,005254,15759.300,0.014180,28.3500000
02768110,311012,005254,15677.000,-0.002822,28.2700000
02768110,301112,005254,15643.300,0.002476,28.3400000
02768110,311212,005254,15651.000,0.007789,28.3600000
02768110,310113,005254,16356.800,0.042313,29.5600000
02768110,280213,005254,16683.700,0.019621,30.1400000
02768110,280313,005254,17380.300,0.040722,31.2000000
02768110,300413,005254,17913.400,0.026282,32.0200000
02768110,310513,005254,17959.400,0.000000,32.0200000
02768110,280613,005254,17869.800,-0.008951,31.5700000
02768110,310713,005254,18758.300,0.042762,32.9200000
02768110,300813,005254,18362.100,-0.023694,32.1400000
02768110,300913,005254,18890.700,0.028302,32.8800000
02768110,311013,005254,19724.200,0.042275,34.2700000
02768110,291113,005254,20138.600,0.020718,34.9800000
02768110,311213,005254,20506.300,0.020955,34.8100000
02768110,310114,005254,19824.600,-0.033611,33.6400000
02768110,280214,005254,20580.000,0.038644,34.9400000
02768110,310314,005254,20892.200,0.015858,35.3200000
02768110,300414,005254,21024.100,0.006795,35.5600000
02768110,300514,005254,21432.100,0.021091,36.3100000
02768110,300614,005254,21683.900,0.015335,36.6900000
02768110,310714,005254,21170.600,-0.020987,35.9200000
02768110,290814,005254,21871.900,0.035356,37.1900000
02768110,300914,005254,21557.100,-0.011794,36.5700000
02768110,311014,005254,22280.000,0.035001,37.8500000
02768110,281114,005254,22875.400,0.026420,38.8500000
02768110,311214,005254,22697.600,-0.005720,37.1400000
02768110,300115,005254,22196.600,-0.025310,36.2000000
02768110,270215,005254,23128.300,0.040608,37.6700000
02768110,310315,005254,22822.100,-0.013083,36.9900000
02768110,300415,005254,23070.300,0.011625,37.4200000
02768110,290515,005254,23106.900,0.003474,37.5500000
02768110,300615,005254,22449.600,-0.026088,36.3900000
02768110,310715,005254,22676.200,0.012641,36.8500000
02768110,310815,005254,21397.500,-0.055360,34.8100000
02768110,300915,005254,20798.000,-0.026374,33.7100000
02768110,301015,005254,22284.600,0.073272,36.1800000
02768110,301115,005254,22246.500,0.001106,36.2200000
02768110,311215,005254,21659.400,-0.018818,33.8500000
02768110,290116,005254,20964.200,-0.029542,32.8500000
02768110,290216,005254,21023.000,0.003349,32.9600000
02768110,310316,005254,22370.600,0.064188,34.8900000
02768110,290416,005254,22685.000,0.014331,35.3900000
02768110,310516,005254,22964.900,0.012150,35.8200000
02768110,300616,005254,23434.400,0.020339,36.3600000
02768110,290716,005254,24008.000,0.025578,37.2900000
02768110,310816,005254,23834.000,-0.004023,37.1400000
02768110,300916,005254,23602.700,-0.001415,36.9000000
02768110,311016,005254,22926.000,-0.022222,36.0800000
02768110,301116,005254,23607.300,0.034645,37.3300000
02768110,301216,005254,23959.300,0.019253,36.8300000
02768110,310117,005254,24267.400,0.014390,37.3600000
02768110,280217,005254,24999.900,0.033191,38.6000000
02768110,310317,005254,24792.800,-0.002371,38.3200000
02768110,280417,005254,24774.700,0.002871,38.4300000
02768110,310517,005254,24925.800,0.012230,38.9000000
02768110,300617,005254,24877.600,0.005881,38.9400000
02768110,310717,005254,25153.300,0.017720,39.6300000
02768110,310817,005254,25002.100,0.001766,39.7000000
02768110,290917,005254,25548.600,0.029018,40.6600000
02768110,311017,005254,25577.300,0.007624,40.9700000
02768110,301117,005254,26213.200,0.031731,42.2700000
02768110,291217,005254,26217.900,0.010554,40.8000000
02768110,310118,005254,27142.600,0.042157,42.5200000
02768110,280218,005254,25953.200,-0.038570,40.8800000
02768110,290318,005254,25205.700,-0.023367,39.7400000
02768110,300418,005254,25230.500,0.006291,39.9900000
02768110,310518,005254,25455.700,0.013253,40.5200000
02768110,290618,005254,25495.300,0.007483,40.6300000
02768110,310718,005254,26281.200,0.033965,42.0100000
02768110,310818,005254,26690.000,0.016663,42.7100000
02768110,280918,005254,26838.500,0.007623,42.8400000
02768110,311018,005254,25509.100,-0.044118,40.9500000
02768110,301118,005254,26389.400,0.034432,42.3600000
02768110,311218,005254,24486.800,-0.069498,37.5100000
02768110,310119,005254,25713.400,0.047987,39.3100000
02768110,280219,005254,26434.500,0.027474,40.3900000
02768110,290319,005254,26724.100,0.011910,40.6700000
02768110,300419,005254,27259.000,0.021392,41.5400000
02768110,310519,005254,26153.500,-0.039961,39.8800000
02768110,280619,005254,27438.900,0.051456,41.7300000
02768110,310719,005254,27552.300,0.005751,41.9700000
02768110,300819,005254,27519.700,-0.000477,41.9500000
02768110,300919,005254,28011.100,0.019662,42.5700000
02768110,311019,005254,28160.500,0.004933,42.7800000
02768110,291119,005254,28881.200,0.026882,43.9300000
02768110,311219,005254,29407.300,0.024384,43.5200000
92192610,290110,031221,5966.400,-0.038743,55.0800000
92192610,260210,031221,6195.100,0.043391,57.4700000
92192610,310310,031221,6679.600,0.081956,62.1800000
92192610,300410,031221,6973.800,0.039080,64.6100000
92192610,280510,031221,6398.400,-0.070268,60.0700000
92192610,300610,031221,5957.500,-0.067255,56.0300000
92192610,300710,031221,6230.700,0.067642,59.8200000
92192610,310810,031221,5674.700,-0.059679,56.2500000
92192610,300910,031221,6214.700,0.129422,63.5300000
92192610,291010,031221,6289.700,0.039194,66.0200000
92192610,301110,031221,6324.100,0.031809,68.1200000
92192610,311210,031221,6686.100,0.071882,72.9100000
92192610,310111,031221,6777.500,0.011110,73.7200000
92192610,280211,031221,6940.000,0.054259,77.7200000
92192610,310311,031221,7060.500,0.025347,79.6900000
92192610,290411,031221,7305.800,0.032250,82.2600000
92192610,310511,031221,6932.500,-0.009482,81.4800000
92192610,300611,031221,6751.800,-0.019023,79.9300000
92192610,290711,031221,6377.700,-0.042037,76.5700000
92192610,310811,031221,5769.600,-0.087371,69.8800000
92192610,300911,031221,5149.800,-0.097023,63.1000000
92192610,311011,031221,5864.200,0.157211,73.0200000
92192610,301111,031221,5717.700,-0.013284,72.0500000
92192610,301211,031221,5536.500,-0.007150,71.4400000
92192610,310112,031221,5818.500,0.070689,76.4900000
92192610,290212,031221,6035.500,0.046150,80.0200000
92192610,300312,031221,6003.000,0.018870,81.5300000
92192610,300412,031221,5905.200,-0.009690,80.7400000
92192610,310512,031221,5403.900,-0.075056,74.6800000
92192610,290612,031221,5250.200,0.024103,76.4800000
92192610,310712,031221,5105.500,-0.016344,75.2300000
92192610,310812,031221,5213.300,0.038283,78.1100000
92192610,280912,031221,5237.200,0.022660,79.8800000
92192610,311012,031221,5008.400,-0.023160,78.0300000
92192610,301112,031221,5032.400,0.025375,80.0100000
92192610,311212,031221,5027.400,0.025824,79.4700000
92192610,310113,031221,5258.900,0.067950,84.8700000
92192610,280213,031221,5264.200,0.006834,85.4500000
92192610,280313,031221,5442.500,0.047045,89.4700000
92192610,300413,031221,5404.400,0.005588,89.9700000
92192610,310513,031221,5517.500,0.048794,94.3600000
92192610,280613,031221,5448.000,-0.005405,93.8500000
92192610,310713,031221,5698.200,0.072882,100.6900000
92192610,300813,031221,5463.300,-0.017479,98.9300000
92192610,300913,031221,5417.800,0.059638,104.8300000
92192610,311013,031221,5572.700,0.029858,107.9600000
92192610,291113,031221,5519.900,0.028807,111.0700000
92192610,311213,031221,5537.100,0.032900,103.4000000
92192610,310114,031221,5367.100,-0.026306,100.6800000
92192610,280214,031221,5403.600,0.048272,105.5400000
92192610,310314,031221,5250.700,-0.012412,104.2300000
92192610,300414,031221,5049.500,-0.036650,100.4100000
92192610,300514,031221,4939.800,0.006075,101.0200000
92192610,300614,031221,5105.300,0.047317,105.8000000
92192610,310714,031221,4769.500,-0.053308,100.1600000
92192610,290814,031221,4928.800,0.050919,105.2600000
92192610,300914,031221,4457.000,-0.041801,100.8600000
92192610,311014,031221,4622.800,0.043823,105.2800000
92192610,281114,031221,4603.200,0.008929,106.2200000
92192610,311214,031221,4527.400,0.011513,92.9900000
92192610,300115,031221,4303.000,-0.030003,90.2000000
92192610,270215,031221,4560.400,0.080488,97.4600000
92192610,310315,031221,4575.400,0.014160,98.8400000
92192610,300415,031221,4465.800,-0.016390,97.2200000
92192610,290515,031221,4507.300,0.015532,98.7300000
92192610,300615,031221,4357.000,0.001722,98.9000000
92192610,310715,031221,4251.600,-0.006269,98.2800000
92192610,310815,031221,3942.500,-0.067053,91.6900000
92192610,300915,031221,3698.200,-0.060421,86.1500000
92192610,301015,031221,3862.900,0.051074,90.5500000
92192610,301115,031221,3916.600,0.022419,92.5800000
92192610,311215,031221,3672.700,-0.039195,80.4400000
92192610,290116,031221,3298.000,-0.091497,73.0800000
92192610,290216,031221,3304.700,0.007252,73.6100000
92192610,310316,031221,3512.500,0.079880,79.4900000
92192610,290416,031221,3498.300,0.014090,80.6100000
92192610,310516,031221,3514.800,0.014266,81.7600000
92192610,300616,031221,3437.500,-0.002324,81.5700000
92192610,290716,031221,3570.600,0.057497,86.2600000
92192610,310816,031221,3552.500,0.011825,87.2800000
92192610,300916,031221,3547.200,0.011687,88.3000000
92192610,311016,031221,3323.900,-0.049717,83.9100000
92192610,301116,031221,3520.300,0.068407,89.6500000
92192610,301216,031221,3490.700,0.007937,86.5100000
92192610,310117,031221,3540.300,0.029361,89.0500000
92192610,280217,031221,3610.600,0.025940,91.3600000
92192610,310317,031221,3563.500,0.005254,91.8400000
92192610,280417,031221,3598.700,0.017095,93.4100000
92192610,310517,031221,3586.700,0.002141,93.6100000
92192610,300617,031221,3644.000,0.026386,96.0800000
92192610,310717,031221,3665.900,0.010408,97.0800000
92192610,310817,031221,3485.500,-0.006593,96.4400000
92192610,290917,031221,3598.800,0.040647,100.3600000
92192610,311017,031221,3520.000,0.017338,102.1000000
92192610,301117,031221,3527.900,0.032223,105.3900000
92192610,291217,031221,3528.900,0.009251,95.0100000
92192610,310118,031221,3630.000,0.047784,99.5500000
92192610,280218,031221,3529.900,-0.018985,97.6600000
92192610,290318,031221,3535.500,0.013107,98.9400000
92192610,300418,031221,3535.100,0.002830,99.2200000
92192610,310518,031221,3734.700,0.059363,105.1100000
92192610,290618,031221,3617.300,0.008562,106.0100000
92192610,310718,031221,3663.400,0.021224,108.2600000
92192610,310818,031221,3860.300,0.073434,116.2100000
92192610,280918,031221,3834.900,-0.009380,115.1200000
92192610,311018,031221,3420.200,-0.111796,102.2500000
92192610,301118,031221,3464.300,0.018875,104.1800000
92192610,311218,031221,3083.600,-0.110862,83.6100000
92192610,310119,031221,3382.900,0.113623,93.1100000
92192610,280219,031221,3565.800,0.063259,99.0000000
92192610,290319,031221,3541.100,-0.007576,98.2500000
92192610,300419,031221,3668.800,0.040102,102.1900000
92192610,310519,031221,3396.600,-0.071044,94.9300000
92192610,280619,031221,3648.900,0.078268,102.3600000
92192610,310719,031221,3679.500,0.015436,103.9400000
92192610,300819,031221,3510.600,-0.038388,99.9500000
92192610,300919,031221,3487.900,0.002701,100.2200000
92192610,311019,031221,3519.900,0.014368,101.6600000
92192610,291119,031221,3706.900,0.058332,107.5900000
92192610,311219,031221,3739.200,0.020069,104.5100000
